time/total_timesteps,time/fps,train/reward,train/reward_mean,train/reward_max,time/iterations,time/time_elapsed,train/reward_min,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/explained_variance,train/std,train/approx_kl
2048,250,-0.040771164,0.0597432404756546,6.7502546,1,8,-7.0334992,,,,,,,,,,,
4096,249,0.8182506,0.0736861452460289,22.765514,2,16,-31.64266,4.988644123077393,10,-41.14655060768128,-0.013645306159742177,10.682656002044677,0.0001,0.1,0.151416015625,-0.0008469820022583008,0.9999445676803589,0.0026314114
6144,249,-0.8520176,0.1022234708070755,33.776577,3,24,-40.734947,23.754230499267578,20,-41.15019311904907,-0.0084357396728592,37.1141681432724,0.0001,0.1,0.158349609375,-0.009792566299438477,1.000015139579773,0.003377808
8192,249,2.625909,0.1476752758026123,10.315542,4,32,-17.81262,31.057209014892578,30,-41.147333478927614,-0.006034602248109877,58.367301845550536,0.0001,0.1,0.066162109375,-0.005673050880432129,0.9997942447662354,0.002774788
10240,249,2.817855,0.0792335644364357,35.35231,5,41,-55.343384,10.284552574157715,40,-41.14184250831604,-0.010363317001610995,23.477610421180724,0.0001,0.1,0.112744140625,0.003203272819519043,0.9997711181640625,0.0027227958
12288,248,2.048869,0.09119733422994614,30.65629,6,49,-41.16117,32.48684310913086,50,-41.137355947494505,-0.009809994645183905,73.78525686264038,0.0001,0.1,0.14970703125,0.004481852054595947,0.9993317723274231,0.0035793474
14336,248,1.3185468,0.10569711774587631,13.228968,7,57,-14.18768,17.423696517944336,60,-41.12947225570679,-0.008834326072246768,58.01839618682861,0.0001,0.1,0.084716796875,0.015228033065795898,0.9993846416473389,0.0027332052
16384,248,0.82624626,0.06633109599351883,27.246977,8,65,-38.49557,12.95081901550293,70,-41.135842609405515,-0.012144765228731558,22.802448952198027,0.0001,0.1,0.1353515625,-0.036160945892333984,0.9995760321617126,0.0027553262
18432,248,0.47385788,0.09146880358457565,28.223099,9,74,-29.748343,29.9103946685791,80,-41.13623671531677,-0.009821466985158622,48.36588740348816,0.0001,0.1,0.123291015625,-0.00462496280670166,0.999535858631134,0.0030754197
20480,248,0.48255792,0.10511638969182968,30.737625,10,82,-36.485023,33.37086868286133,90,-41.138145208358765,-0.007240228142472915,52.53790459632874,0.0001,0.1,0.07734375,-0.002988100051879883,0.9997928142547607,0.0026126308
